"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"91.0","99999.0","6.30310303103031","4.8E-4","0.9994999899997999","0.4897959183673469","0.8999999999999999","6","28","24","49974","25","49976"
"92.0","99999.0","6.30310303103031","4.0E-5","0.999939998799976","0.4","0.8999999999999999","7","28","2","49996","3","49998"
"93.0","99999.0","6.30310303103031","2.0E-5","1.0","1.0","0.8999999999999999","8","28","1","49999","0","49999"
"94.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","9","28","0","49999","0","50000"
"95.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","10","28","0","49999","0","50000"
"96.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","11","28","0","49999","0","50000"
"97.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","12","28","0","49999","0","50000"
"98.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","13","28","0","49999","0","50000"
"99.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","14","28","0","49999","0","50000"
"100.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","15","28","0","49999","0","50000"
"101.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","16","28","0","49999","0","50000"
"102.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","17","28","0","49999","0","50000"
"103.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","18","28","0","49999","0","50000"
"104.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","19","28","0","49999","0","50000"
"105.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.8999999999999999","20","28","0","49999","0","50000"
"106.0","99999.0","6.30310303103031","1.2E-4","0.999879997599952","0.5","0.9999999999999999","0","28","6","49993","6","49994"
"107.0","99999.0","6.30310303103031","1.2E-4","0.999879997599952","0.5","0.9999999999999999","1","28","6","49993","6","49994"
"108.0","99999.0","6.30310303103031","1.2E-4","0.999879997599952","0.5","0.9999999999999999","2","28","6","49993","6","49994"
"109.0","99999.0","6.30310303103031","1.2E-4","0.999879997599952","0.5","0.9999999999999999","3","28","6","49993","6","49994"
"110.0","99999.0","6.30310303103031","1.2E-4","0.999879997599952","0.5","0.9999999999999999","4","28","6","49993","6","49994"
"111.0","99999.0","6.30310303103031","1.2E-4","0.999879997599952","0.5","0.9999999999999999","5","28","6","49993","6","49994"
"112.0","99999.0","6.30310303103031","1.0E-4","0.99989999799996","0.5","0.9999999999999999","6","28","5","49994","5","49995"
"113.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","7","28","0","49999","0","50000"
"114.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","8","28","0","49999","0","50000"
"115.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","9","28","0","49999","0","50000"
"116.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","10","28","0","49999","0","50000"
