"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"96.0","500000.0","8.823886","0.03116","0.999992","0.9997433264887063","0.8999999999999999","11","28","7790","249998","2","242210"
"97.0","500000.0","8.823886","0.030456","1.0","1.0","0.8999999999999999","12","28","7614","250000","0","242386"
"98.0","500000.0","8.823886","0.029532","1.0","1.0","0.8999999999999999","13","28","7383","250000","0","242617"
"99.0","500000.0","8.823886","0.028432","1.0","1.0","0.8999999999999999","14","28","7108","250000","0","242892"
"100.0","500000.0","8.823886","0.027008","1.0","1.0","0.8999999999999999","15","28","6752","250000","0","243248"
"101.0","500000.0","8.823886","0.025592","1.0","1.0","0.8999999999999999","16","28","6398","250000","0","243602"
"102.0","500000.0","8.823886","0.023932","1.0","1.0","0.8999999999999999","17","28","5983","250000","0","244017"
"103.0","500000.0","8.823886","0.02244","1.0","1.0","0.8999999999999999","18","28","5610","250000","0","244390"
"104.0","500000.0","8.823886","0.020736","1.0","1.0","0.8999999999999999","19","28","5184","250000","0","244816"
"105.0","500000.0","8.823886","0.019052","1.0","1.0","0.8999999999999999","20","28","4763","250000","0","245237"
"106.0","500000.0","8.823886","3.6E-5","0.999972","0.5625","0.9999999999999999","0","28","9","249993","7","249991"
"107.0","500000.0","8.823886","3.6E-5","0.999972","0.5625","0.9999999999999999","1","28","9","249993","7","249991"
"108.0","500000.0","8.823886","3.6E-5","0.999972","0.5625","0.9999999999999999","2","28","9","249993","7","249991"
"109.0","500000.0","8.823886","3.6E-5","0.999972","0.5625","0.9999999999999999","3","28","9","249993","7","249991"
"110.0","500000.0","8.823886","3.6E-5","0.999972","0.5625","0.9999999999999999","4","28","9","249993","7","249991"
"111.0","500000.0","8.823886","3.6E-5","0.999972","0.5625","0.9999999999999999","5","28","9","249993","7","249991"
"112.0","500000.0","8.823886","2.8E-5","0.999972","0.5","0.9999999999999999","6","28","7","249993","7","249993"
"113.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","7","28","0","250000","0","250000"
"114.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","8","28","0","250000","0","250000"
"115.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","9","28","0","250000","0","250000"
"116.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","10","28","0","250000","0","250000"
"117.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","11","28","0","250000","0","250000"
"118.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","12","28","0","250000","0","250000"
"119.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","13","28","0","250000","0","250000"
"120.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","14","28","0","250000","0","250000"
"121.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","15","28","0","250000","0","250000"
"122.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","16","28","0","250000","0","250000"
"123.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","17","28","0","250000","0","250000"
"124.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","18","28","0","250000","0","250000"
"125.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","19","28","0","250000","0","250000"
"126.0","500000.0","8.823886","0.0","1.0","0.0","0.9999999999999999","20","28","0","250000","0","250000"
