"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG00278.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"13"	"12"	"966"	"H1n4"	"0.903"	"H1n4"	"0.783"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00280.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"28"	"8"	"767"	"X2c1"	"1.000"	"X2c1"	"0.970"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG00281.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"28"	"10"	"1055"	"U5a1a1h"	"0.973"	"U5a1a1h"	"0.972"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG00282.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"16"	"13"	"631"	"V1a1a"	"0.979"	"V1a1a"	"0.980"	"16"	"16"	"0"	"0"	" "	" "	"0"	""
"HG00284.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"33"	"8"	"1095"	"U5b2a1a1d"	"0.948"	"U5b2a1a1d"	"0.911"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG00285.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"26"	"10"	"825"	"U5b1b2"	"0.975"	"U5b1b2"	"0.979"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG00288.mapped.ILLUMINA.bwa.FIN.low_coverage.20130502.bam"	"NO"	"26"	"13"	"2228"	"U5a1b1h"	"0.976"	"U5a1b1h"	"0.992"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00290.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"28"	"7"	"2712"	"U5a2a1a"	"1.000"	"U5a2a1a"	"1.000"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG00304.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"11"	"13"	"1279"	"H2a1a"	"0.901"	"H2a1a"	"0.837"	"8"	"8"	"0"	"0"	" "	" "	"0"	""
"HG00306.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"26"	"8"	"1701"	"U5a2b"	"0.958"	"U5a2b"	"0.958"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"HG00308.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"33"	"13"	"1201"	"W1a"	"1.000"	"W1a"	"0.965"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG00309.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"13"	"12"	"1901"	"H5a1a"	"0.933"	"H5a1a"	"0.866"	"11"	"11"	"0"	"0"	" "	" "	"0"	""
"HG00310.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"12"	"8"	"1675"	"H1a2"	"0.994"	"H1a2"	"0.955"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00311.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"29"	"16"	"1534"	"U5b1b2a"	"0.937"	"U5b1b2a"	"0.912"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00313.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"11"	"9"	"690"	"H1f1"	"0.969"	"H1f1"	"0.872"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
