"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"NA18861.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"83"	"13"	"2036"	"L0a1a2"	"0.974"	"L0a1a2"	"0.974"	"81"	"81"	"0"	"0"	" "	" "	"0"	""
"NA18864.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"42"	"15"	"2818"	"L3d6"	"0.919"	"L3d6"	"0.928"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"NA18865.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"36"	"16"	"2060"	"L3b1a5a"	"0.981"	"L3b1a5a"	"0.987"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA18867.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"41"	"16"	"3092"	"L3d1a1b"	"0.988"	"L3d1a1b"	"0.967"	"40"	"40"	"0"	"0"	" "	" "	"0"	""
"NA18868.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"60"	"20"	"2578"	"L2a1c1a1"	"0.973"	"L2a1c1a1"	"0.977"	"57"	"57"	"0"	"0"	" "	" "	"0"	""
"NA18870.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"70"	"15"	"2209"	"L2b3a"	"0.969"	"L2b3a"	"0.930"	"65"	"65"	"0"	"0"	" "	" "	"0"	""
"NA18871.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"39"	"18"	"1034"	"L3b1a1"	"0.921"	"L3b1a1"	"0.921"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"NA18873.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"38"	"11"	"1992"	"L3e3b"	"0.971"	"L3e3b"	"0.956"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA18874.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"53"	"19"	"2421"	"L2a1a1"	"0.980"	"L2a1a1"	"0.961"	"51"	"51"	"0"	"0"	" "	" "	"0"	""
"NA18876.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"78"	"12"	"2439"	"L0a1a2"	"0.975"	"L0a1a2"	"0.962"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"NA18877.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"76"	"20"	"2275"	"L0a1a2"	"0.982"	"L0a1a2"	"0.963"	"77"	"77"	"0"	"0"	" "	" "	"0"	""
"NA18878.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"55"	"8"	"2044"	"L2a1i1"	"0.975"	"L2a1i1"	"0.943"	"50"	"50"	"0"	"0"	" "	" "	"0"	""
"NA18879.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"53"	"8"	"2143"	"L4b2b"	"0.903"	"L4b2b"	"0.896"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"NA18881.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"42"	"11"	"1733"	"L3f1b1a"	"0.964"	"L3f1b1a"	"0.954"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"NA18907.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"YES"	"24"	"49"	"1537"	"L3b1a5a"	"0.961"	"L3"	"0.786"	"21"	"18"	"12"	"0"	"0.989"	" "	"6"	"0.986 - 0.988 (6);0.989 - 0.993 (6);"
"NA18908.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"51"	"13"	"2194"	"L2a1c5"	"1.000"	"L2a1c5"	"0.979"	"51"	"51"	"0"	"0"	" "	" "	"0"	""
"NA18909.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"34"	"19"	"1452"	"L3e4a"	"0.942"	"L3e4a"	"0.915"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"NA18910.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"55"	"18"	"1773"	"L2a1c2a"	"0.960"	"L2a1c2a"	"0.923"	"53"	"53"	"1"	"1"	"0.880"	"0.107"	"0"	"0.107 (1);0.88 (1);"
"NA18912.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"55"	"19"	"2134"	"L2a1c4a1"	"0.975"	"L2a1c4a1"	"0.974"	"53"	"53"	"0"	"0"	" "	" "	"0"	""
"NA18915.mapped.ILLUMINA.bwa.YRI.low_coverage.20130502.bam"	"NO"	"84"	"24"	"1459"	"L1c3b1b"	"0.978"	"L1c3b1b"	"0.949"	"81"	"81"	"0"	"0"	" "	" "	"0"	""
"NA18916.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam"	"NO"	"41"	"14"	"2797"	"L3b2b"	"0.946"	"L3b2b"	"0.946"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18917.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"77"	"14"	"1449"	"L1b1a+189"	"0.979"	"L1b1a+189"	"0.945"	"73"	"73"	"0"	"0"	" "	" "	"0"	""
"NA18923.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"76"	"20"	"1154"	"L1b1a3"	"1.000"	"L1b1a3"	"0.967"	"75"	"75"	"0"	"0"	" "	" "	"0"	""
"NA18924.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"77"	"9"	"1778"	"L1b1a3a"	"0.999"	"L1b1a3a"	"0.999"	"76"	"76"	"0"	"0"	" "	" "	"0"	""
"NA18933.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"77"	"12"	"1543"	"L1b1a15"	"0.995"	"L1b1a15a"	"0.976"	"75"	"75"	"0"	"0"	" "	" "	"1"	""
"NA18934.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam"	"NO"	"35"	"13"	"1338"	"L3e2a1b1"	"0.958"	"L3e2a1b1"	"0.946"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"NA18939.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"26"	"10"	"5831"	"A5a4"	"0.976"	"A5a4"	"0.962"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"NA18940.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"36"	"13"	"1813"	"M7a1a1a"	"0.991"	"M7a1a1a"	"0.991"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18941.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"29"	"9"	"1962"	"N9b1a"	"0.872"	"N9b1a"	"0.860"	"21"	"21"	"0"	"0"	" "	" "	"0"	""
"NA18942.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"25"	"39"	"2993"	"Z4a1a1"	"0.951"	"Z4a1a1"	"0.763"	"25"	"25"	"2"	"0"	"0.990"	" "	"0"	"0.989 (1);0.99 (1);"
"NA18943.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"41"	"13"	"1915"	"M7b1a1a3"	"1.000"	"M7b1a1a3"	"0.997"	"41"	"41"	"0"	"0"	" "	" "	"0"	""
"NA18944.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"YES"	"13"	"31"	"1894"	"D4e2"	"0.928"	"R"	"0.842"	"13"	"11"	"15"	"0"	"0.986"	" "	"8"	"0.981 - 0.985 (6);0.986 - 0.991 (9);"
"NA18945.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"32"	"9"	"2416"	"D4e2"	"0.995"	"D4e2"	"0.966"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA18946.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"43"	"4"	"3114"	"D4b1b1a1"	"0.985"	"D4b1b1a1"	"0.985"	"41"	"41"	"0"	"0"	" "	" "	"0"	""
"NA18947.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"33"	"15"	"1659"	"F1e1a"	"0.989"	"F1e1a"	"0.989"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"NA18948.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"26"	"25"	"1088"	"B4a1b1"	"0.871"	"B4a1b1"	"0.871"	"23"	"23"	"0"	"0"	" "	" "	"0"	""
"NA18949.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"31"	"24"	"1196"	"B4b1a1"	"0.885"	"B4b1a1"	"0.911"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"NA18950.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"39"	"11"	"2215"	"M8a3a1"	"0.935"	"M8a3a1"	"0.950"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18951.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"YES"	"16"	"38"	"1280"	"D4b2a2b"	"1.000"	"R+16189"	"0.898"	"15"	"11"	"19"	"0"	"0.988"	" "	"12"	"0.982 - 0.987 (6);0.988 - 0.991 (13);"
"NA18952.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"41"	"15"	"1293"	"M7b1a1a1b1"	"1.000"	"M7b1a1a1b1"	"0.930"	"41"	"41"	"0"	"0"	" "	" "	"0"	""
"NA18953.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"36"	"18"	"930"	"M7a1a5a"	"0.974"	"M7a1a5a"	"0.957"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18954.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"24"	"18"	"1640"	"B4a1c1a1"	"0.885"	"B4a1c1a1"	"0.885"	"21"	"21"	"0"	"0"	" "	" "	"0"	""
"NA18956.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"22"	"21"	"821"	"M9a1a1a"	"0.988"	"M9a1a"	"0.824"	"19"	"19"	"2"	"0"	"0.989"	" "	"2"	"0.989 (2);"
"NA18957.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"32"	"12"	"2613"	"D4j14"	"0.995"	"D4j14"	"0.948"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA18959.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"35"	"15"	"3640"	"D4j3a1"	"1.000"	"D4j3a1"	"0.951"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18960.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"22"	"17"	"3123"	"N9a4a"	"1.000"	"N9a4a"	"0.908"	"22"	"22"	"0"	"0"	" "	" "	"0"	""
"NA18961.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"38"	"33"	"796"	"B5b3b"	"0.867"	"B5b3b"	"0.896"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA18962.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"36"	"19"	"3072"	"G2b2"	"0.959"	"G2b2"	"0.888"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"NA18963.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"39"	"14"	"4190"	"G1a1a"	"0.983"	"G1a1a"	"0.973"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18964.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"31"	"17"	"1330"	"A5a"	"0.933"	"A5a"	"0.903"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"NA18965.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"35"	"23"	"1434"	"M7a1a8"	"0.969"	"M7a1a8"	"0.908"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"NA18966.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"37"	"12"	"2266"	"D4b2b1"	"0.985"	"D4b2b1"	"0.985"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18967.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"40"	"17"	"1588"	"D4b2b1d"	"0.972"	"D4b2b1d"	"0.956"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"NA18968.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"41"	"14"	"3187"	"D4b2a2a1"	"0.981"	"D4b2a2a1"	"0.957"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"NA18969.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"31"	"13"	"812"	"M9a1a1a"	"0.981"	"M9a1a1a"	"0.983"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"NA18970.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"38"	"11"	"1260"	"F1b1a1a1"	"0.990"	"F1b1a1a1"	"0.978"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18971.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"31"	"23"	"2920"	"B5a2a1b"	"0.910"	"B5a2a1b"	"0.896"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA18972.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"37"	"11"	"1502"	"D4b2b1+146"	"0.989"	"D4b2b1+146"	"1.000"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18973.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"25"	"7"	"1176"	"N9a2a1"	"0.980"	"N9a2"	"0.943"	"25"	"23"	"1"	"0"	"0.985"	" "	"2"	"0.985 (1);"
"NA18974.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"28"	"7"	"3681"	"Y2"	"0.976"	"Y2"	"0.963"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"NA18975.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"22"	"27"	"2466"	"B4a1c1a1"	"0.872"	"B4a1c1a1"	"0.812"	"21"	"21"	"0"	"0"	" "	" "	"0"	""
"NA18976.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"27"	"12"	"3640"	"N9a2c"	"1.000"	"N9a2c"	"0.933"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"NA18977.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"39"	"15"	"2370"	"D4b2b1d"	"0.992"	"D4b2b1d"	"0.957"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"NA18978.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"32"	"4"	"2488"	"D4e2"	"0.995"	"D4e2"	"0.995"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA18979.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"31"	"22"	"3123"	"A5a1a1"	"0.986"	"A5a1a1"	"0.935"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA18980.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"40"	"13"	"2547"	"D4b2b1"	"0.984"	"D4b2b1"	"0.966"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18981.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"38"	"12"	"3338"	"D4a3b"	"0.971"	"D4a3b"	"0.989"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18982.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"22"	"37"	"1342"	"B4c1a1"	"0.883"	"B4c1a1"	"0.790"	"20"	"20"	"0"	"0"	" "	" "	"0"	""
"NA18983.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"YES"	"22"	"43"	"1632"	"D4c1a"	"0.959"	"N"	"0.745"	"22"	"12"	"11"	"1"	"0.986"	"0.009"	"8"	"0.009 (1);0.975 - 0.99 (11);"
"NA18984.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"33"	"24"	"1523"	"B4b1a1b"	"0.880"	"B4b1a1b"	"0.880"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA18985.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"41"	"26"	"1344"	"B5b3a"	"0.874"	"B5b3a"	"0.806"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA18986.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"29"	"19"	"2350"	"A5a1a1"	"0.986"	"A5a1a1"	"0.956"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"NA18987.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"35"	"12"	"1693"	"D4m1"	"0.985"	"D4m1"	"0.987"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA18988.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"25"	"15"	"2981"	"N9a4a"	"1.000"	"N9a4a"	"0.963"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"NA18989.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"37"	"36"	"2290"	"B5b1a2"	"0.893"	"B5b1a2"	"0.849"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18990.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"YES"	"15"	"45"	"1919"	"G1a1a2"	"0.978"	"N9a4a"	"0.932"	"15"	"14"	"17"	"7"	"0.982"	"0.012"	"14"	"0.009 - 0.013 (7);0.974 - 0.988 (17);"
"NA18991.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"26"	"19"	"2362"	"N9a4a"	"0.985"	"N9a4a"	"0.897"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"NA18992.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"41"	"4"	"2365"	"D4a1c"	"0.953"	"D4a1c"	"0.941"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA18993.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"43"	"6"	"2687"	"D4b1b1a1"	"0.991"	"D4b1b1a1"	"0.979"	"41"	"41"	"0"	"0"	" "	" "	"0"	""
"NA18994.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"38"	"10"	"2069"	"M8a2c"	"0.960"	"M8a2c"	"0.921"	"33"	"33"	"0"	"0"	" "	" "	"0"	""
"NA18995.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"39"	"4"	"2736"	"D4a1a1"	"0.986"	"D4a1a1"	"0.986"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18997.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"29"	"14"	"3007"	"A5a3"	"0.956"	"A5a3"	"0.957"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"NA18998.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"39"	"13"	"2735"	"D4b2a2b"	"0.956"	"D4b2a2b"	"0.962"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA18999.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"35"	"11"	"1330"	"M7a1a1a"	"0.991"	"M7a1a1a"	"0.976"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA19000.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"33"	"9"	"2278"	"D4g1"	"0.958"	"D4g1"	"0.945"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"NA19001.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"37"	"14"	"5429"	"M7a1a9"	"0.956"	"M7a1a9"	"0.931"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA19002.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"43"	"15"	"2176"	"D5b1b1"	"0.977"	"D5b1b1"	"0.940"	"40"	"40"	"0"	"0"	" "	" "	"0"	""
"NA19003.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"39"	"11"	"1232"	"G2a1d1a"	"0.980"	"G2a1d1a"	"0.941"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"NA19004.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"33"	"16"	"3282"	"D4g1c"	"0.976"	"D4g1c"	"0.926"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"NA19005.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"37"	"12"	"2070"	"Z4a"	"0.967"	"Z4a"	"0.942"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"NA19006.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"42"	"20"	"2117"	"D5a2a1a1a"	"0.965"	"D5a2a1a"	"0.917"	"39"	"38"	"1"	"0"	"0.984"	" "	"2"	"0.984 (1);"
"NA19007.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"42"	"11"	"1480"	"G1a1a4"	"0.958"	"G1a1a4"	"0.947"	"37"	"37"	"0"	"0"	" "	" "	"0"	""
"NA19009.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"40"	"31"	"1202"	"B5b1a2a"	"0.905"	"B5b1a2a"	"0.861"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"NA19010.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"35"	"18"	"2565"	"D4b2b1"	"0.989"	"D4b2b1"	"0.928"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"NA19011.mapped.ILLUMINA.bwa.JPT.low_coverage.20130415.bam"	"NO"	"39"	"14"	"2174"	"M7a+16324"	"0.927"	"M7a"	"0.908"	"30"	"30"	"1"	"0"	"0.990"	" "	"1"	"0.99 (1);"
"NA19012.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"YES"	"16"	"48"	"1478"	"A3a"	"0.933"	"D4b2b"	"0.900"	"15"	"12"	"8"	"19"	"0.972"	"0.020"	"12"	"0.011 - 0.031 (19);0.955 - 0.981 (8);"
"NA19017.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam"	"NO"	"36"	"16"	"4139"	"L3b1a1a"	"0.981"	"L3b1a1a"	"0.970"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA19019.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam"	"NO"	"77"	"16"	"2666"	"L5a1b"	"0.947"	"L5a1b"	"0.945"	"74"	"74"	"0"	"0"	" "	" "	"0"	""
"NA19020.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"33"	"3"	"5301"	"L3e2a"	"0.955"	"L3e2a"	"0.947"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"NA19023.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam"	"NO"	"49"	"14"	"2274"	"L2a1f"	"0.982"	"L2a1f"	"0.947"	"47"	"47"	"0"	"0"	" "	" "	"0"	""
"NA19024.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam"	"NO"	"68"	"13"	"2182"	"L2b1a3"	"0.993"	"L2b1a3"	"0.977"	"67"	"67"	"0"	"0"	" "	" "	"0"	""
"NA19025.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"41"	"8"	"1738"	"M1a1b"	"0.973"	"M1a1b"	"0.969"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"NA19026.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam"	"NO"	"35"	"17"	"2405"	"L3b1a1a"	"0.981"	"L3b1a1a"	"0.976"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA19027.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"78"	"14"	"1944"	"L0a1a+200"	"0.974"	"L0a1a+200"	"0.950"	"77"	"77"	"0"	"0"	" "	" "	"0"	""
"NA19028.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"58"	"5"	"3400"	"L2a5"	"0.900"	"L2a5"	"0.896"	"45"	"45"	"0"	"0"	" "	" "	"0"	""
"NA19030.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"39"	"7"	"1449"	"L3d1a1a1"	"0.979"	"L3d1a1a1"	"0.989"	"38"	"38"	"0"	"0"	" "	" "	"0"	""
"NA19031.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"90"	"14"	"5110"	"L0b"	"0.908"	"L0b"	"0.901"	"75"	"75"	"0"	"0"	" "	" "	"0"	""
"NA19035.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"36"	"8"	"3509"	"L3e1a3a"	"0.987"	"L3e1a3a"	"0.975"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"NA19036.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"37"	"12"	"2770"	"L3b1a1a"	"0.963"	"L3b1a1a"	"0.937"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"NA19037.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"35"	"5"	"2173"	"L3h1a1"	"0.929"	"L3h1a1"	"0.929"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"NA19038.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"44"	"6"	"4309"	"L3h1a2a1"	"0.980"	"L3h1a2a1"	"0.971"	"39"	"39"	"0"	"0"	" "	" "	"0"	""
"NA19041.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"74"	"14"	"3339"	"L1b1a10"	"0.982"	"L1b1a10"	"0.978"	"72"	"72"	"0"	"0"	" "	" "	"0"	""
"NA19042.mapped.ILLUMINA.bwa.LWK.low_coverage.20130415.bam"	"NO"	"79"	"19"	"1624"	"L0a1a+200"	"0.970"	"L0a1a+200"	"0.945"	"78"	"78"	"0"	"0"	" "	" "	"0"	""
"NA19043.mapped.ILLUMINA.bwa.LWK.low_coverage.20121211.bam"	"NO"	"73"	"14"	"2246"	"L5b2"	"0.899"	"L5b2"	"0.880"	"63"	"63"	"1"	"0"	"0.987"	" "	"0"	"0.987 (1);"
"NA19054.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"37"	"21"	"1429"	"D5a2a1a"	"0.963"	"D5a2a1a"	"0.910"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"NA19055.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522.bam"	"NO"	"22"	"20"	"1377"	"N9a5"	"0.964"	"N9a2'4'5'11"	"0.814"	"21"	"19"	"1"	"0"	"0.991"	" "	"1"	"0.991 (1);"
